# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  103       3.754721610725e-10       1.100005845282e-13      -3.382726189542e-12       0.000000000000e+00       9.297584426717e-12       1.349555170161e-12      -6.958479660520e-15 
  104       3.797567187488e-10       1.119161161181e-13      -3.471856801808e-12       0.000000000000e+00       9.064529251207e-12       1.323156055960e-12      -6.884208257448e-15 
  105       3.840655828685e-10       1.138045663812e-13      -3.560820655181e-12       0.000000000000e+00       8.838282840823e-12       1.297482713171e-12      -6.814817666028e-15 
  106       3.883985834183e-10       1.156641376036e-13      -3.649547136539e-12       0.000000000000e+00       8.618881851020e-12       1.272537152767e-12      -6.749925038634e-15 
  107       3.927554363641e-10       1.174930321398e-13      -3.737964830251e-12       0.000000000000e+00       8.406314994041e-12       1.248315642220e-12      -6.689089682984e-15 
  108       3.971357392281e-10       1.192894534001e-13      -3.826001542259e-12       0.000000000000e+00       8.200521390234e-12       1.224808508398e-12      -6.631811417532e-15 
  109       4.015389666654e-10       1.210516068389e-13      -3.913584324150e-12       0.000000000000e+00       8.001388919383e-12       1.201999940472e-12      -6.577528926862e-15 
  110       4.059644660414e-10       1.227777009415e-13      -4.000639497236e-12       0.000000000000e+00       7.808752572022e-12       1.179867792820e-12      -6.525618117083e-15 
  111       4.104114530087e-10       1.244659482123e-13      -4.087092676632e-12       0.000000000000e+00       7.622392800768e-12       1.158383387929e-12      -6.475390471226e-15 
  112       4.148790070841e-10       1.261145661623e-13      -4.172868795333e-12       0.000000000000e+00       7.442033871640e-12       1.137511319298e-12      -6.426091404634e-15 
  113       4.193660672254e-10       1.277217782963e-13      -4.257892128291e-12       0.000000000000e+00       7.267342215379e-12       1.117209254347e-12      -6.376898620361e-15 
  114       4.238714274089e-10       1.292858151014e-13      -4.342086316491e-12       0.000000000000e+00       7.097924778778e-12       1.097427737312e-12      -6.326920464563e-15 
  115       4.283937322060e-10       1.308049150337e-13      -4.425374391033e-12       0.000000000000e+00       6.933327376001e-12       1.078109992156e-12      -6.275194281895e-15 
  116       4.329316680875e-10       1.322773734499e-13      -4.507679722953e-12       0.000000000000e+00       6.773134289889e-12       1.059204710238e-12      -6.220890699578e-15 
  117       4.374845731799e-10       1.337016940373e-13      -4.588928952241e-12       0.000000000000e+00       6.617284338734e-12       1.040706598524e-12      -6.163958172770e-15 
  118       4.420518936834e-10       1.350764577354e-13      -4.669049461809e-12       0.000000000000e+00       6.465790320171e-12       1.022620414108e-12      -6.104554080206e-15 
  119       4.466329921147e-10       1.364002778352e-13      -4.747968515519e-12       0.000000000000e+00       6.318640454358e-12       1.004948339158e-12      -6.042845981635e-15 
  120       4.512271446151e-10       1.376718013917e-13      -4.825613290446e-12       0.000000000000e+00       6.175797630525e-12       9.876898986325e-13      -5.979011793982e-15 
  121       4.558335382573e-10       1.388897106345e-13      -4.901910909139e-12       0.000000000000e+00       6.037198653525e-12       9.708418779902e-13      -5.913239967505e-15 
  122       4.604512683538e-10       1.400527243799e-13      -4.976788471885e-12       0.000000000000e+00       5.902753490383e-12       9.543982409016e-13      -5.845729661961e-15 
  123       4.650793357640e-10       1.411595994424e-13      -5.050173088973e-12       0.000000000000e+00       5.772344516842e-12       9.383500469607e-13      -5.776690922762e-15 
  124       4.697166442017e-10       1.422091320459e-13      -5.121991912954e-12       0.000000000000e+00       5.645825763912e-12       9.226853693962e-13      -5.706344857141e-15 
  125       4.743619975431e-10       1.432001592354e-13      -5.192172170904e-12       0.000000000000e+00       5.523022164422e-12       9.073892127832e-13      -5.634923810307e-15 
  126       4.790140971340e-10       1.441315602888e-13      -5.260641196689e-12       0.000000000000e+00       5.403728799565e-12       8.924434307547e-13      -5.562671541610e-15 
  127       4.836715390975e-10       1.450022581279e-13      -5.327326463227e-12       0.000000000000e+00       5.287710145448e-12       8.778266437128e-13      -5.489843400701e-15 
  128       4.883328116419e-10       1.458112207303e-13      -5.392155614747e-12       0.000000000000e+00       5.174699319641e-12       8.635141565407e-13      -5.416706503692e-15 
  129       4.929964473127e-10       1.465575029124e-13      -5.455057212399e-12       0.000000000000e+00       5.064455463214e-12       8.494839196601e-13      -5.343504685520e-15 
  130       4.976615043547e-10       1.472403738636e-13      -5.515962995016e-12       0.000000000000e+00       4.956944604358e-12       8.357353263442e-13      -5.270348635867e-15 
  131       5.023271333137e-10       1.478592063351e-13      -5.574805928481e-12       0.000000000000e+00       4.852177304218e-12       8.222723315845e-13      -5.197313987818e-15 
  132       5.069924252572e-10       1.484134392067e-13      -5.631519551618e-12       0.000000000000e+00       4.750151965799e-12       8.090975549275e-13      -5.124475386168e-15 
  133       5.116564101903e-10       1.489025791864e-13      -5.686038013559e-12       0.000000000000e+00       4.650854496518e-12       7.962122414307e-13      -5.051906411529e-15 
  134       5.163180554724e-10       1.493262025118e-13      -5.738296111110e-12       0.000000000000e+00       4.554257970739e-12       7.836162226177e-13      -4.979679504447e-15 
  135       5.209762642331e-10       1.496839566495e-13      -5.788229326120e-12       0.000000000000e+00       4.460322292326e-12       7.713078774339e-13      -4.907865889509e-15 
  136       5.256298737888e-10       1.499755619962e-13      -5.835773862844e-12       0.000000000000e+00       4.368993857186e-12       7.592840932018e-13      -4.836535499460e-15 
  137       5.302776540590e-10       1.502008135788e-13      -5.880866685314e-12       0.000000000000e+00       4.280205215810e-12       7.475402265767e-13      -4.765756899311e-15 
  138       5.349183059824e-10       1.503595827550e-13      -5.923445554707e-12       0.000000000000e+00       4.193874735825e-12       7.360700645018e-13      -4.695597210456e-15 
  139       5.395504599335e-10       1.504518189136e-13      -5.963449066707e-12       0.000000000000e+00       4.109906264532e-12       7.248657851641e-13      -4.626122034780e-15 
  140       5.441726741387e-10       1.504775511748e-13      -6.000816688877e-12       0.000000000000e+00       4.028188791457e-12       7.139179189494e-13      -4.557395378771e-15 
  141       5.487834330925e-10       1.504368900907e-13      -6.035488798024e-12       0.000000000000e+00       3.948596110890e-12       7.032153093982e-13      -4.489479577638e-15 
  142       5.533811459744e-10       1.503300293460e-13      -6.067406717565e-12       0.000000000000e+00       3.870986484436e-12       6.927450741608e-13      -4.422435219416e-15 
  143       5.579641450643e-10       1.501572474577e-13      -6.096512754897e-12       0.000000000000e+00       3.795202303557e-12       6.824925659530e-13      -4.356321069081e-15 
  144       5.625308206586e-10       1.499189221356e-13      -6.122750792599e-12       0.000000000000e+00       3.721103149716e-12       6.724444257799e-13      -4.291179373264e-15 
  145       5.670800441493e-10       1.496155713668e-13      -6.146068048859e-12       0.000000000000e+00       3.648669360564e-12       6.625981642826e-13      -4.226990301781e-15 
  146       5.716107838380e-10       1.492478196322e-13      -6.166413562438e-12       0.000000000000e+00       3.577908080043e-12       6.529534551591e-13      -4.163712849475e-15 
  147       5.761219713906e-10       1.488163873690e-13      -6.183737694618e-12       0.000000000000e+00       3.508820633379e-12       6.435091066315e-13      -4.101298893821e-15 
  148       5.806125010377e-10       1.483220927435e-13      -6.197992169745e-12       0.000000000000e+00       3.441402381570e-12       6.342630401727e-13      -4.039693035014e-15 
  149       5.850812287754e-10       1.477658534242e-13      -6.209130115779e-12       0.000000000000e+00       3.375642575873e-12       6.252122692335e-13      -3.978832436065e-15 
  150       5.895269715665e-10       1.471486883551e-13      -6.217106104850e-12       0.000000000000e+00       3.311524212285e-12       6.163528779700e-13      -3.918646662891e-15 
  151       5.939485065408e-10       1.464717195290e-13      -6.221876193801e-12       0.000000000000e+00       3.249023886033e-12       6.076799999704e-13      -3.859057524408e-15 
  152       5.983445701960e-10       1.457361737604e-13      -6.223397964743e-12       0.000000000000e+00       3.188111646057e-12       5.991877969825e-13      -3.799978912627e-15 
  153       6.027138575988e-10       1.449433844587e-13      -6.221630565601e-12       0.000000000000e+00       3.128750849493e-12       5.908694376402e-13      -3.741316642743e-15 
  154       6.070550215854e-10       1.440947934017e-13      -6.216534750669e-12       0.000000000000e+00       3.070898016164e-12       5.827170761914e-13      -3.682968293228e-15 
  155       6.113666719621e-10       1.431919525081e-13      -6.208072921157e-12       0.000000000000e+00       3.014502683057e-12       5.747218312246e-13      -3.624823045924e-15 
  156       6.156473747068e-10       1.422365256114e-13      -6.196209165739e-12       0.000000000000e+00       2.959507258819e-12       5.668737643962e-13      -3.566761526139e-15 
  157       6.198956511688e-10       1.412302902326e-13      -6.180909301109e-12       0.000000000000e+00       2.905846878230e-12       5.591618591574e-13      -3.508655642733e-15 
  158       6.241099772704e-10       1.401751393536e-13      -6.162140912525e-12       0.000000000000e+00       2.853449256699e-12       5.515739994818e-13      -3.450368428218e-15 
  159       6.282887827075e-10       1.390730831900e-13      -6.139873394363e-12       0.000000000000e+00       2.802234544743e-12       5.440969485919e-13      -3.391753878845e-15 
  160       6.324304501500e-10       1.379262509647e-13      -6.114077990665e-12       0.000000000000e+00       2.752115182474e-12       5.367163276869e-13      -3.332656794698e-15 
  161       6.365334251337e-10       1.367368439948e-13      -6.084727687077e-12       0.000000000000e+00       2.703013850605e-12       5.294198962838e-13      -3.272951176524e-15 
  162       6.405965583336e-10       1.355069865676e-13      -6.051796790778e-12       0.000000000000e+00       2.654919412916e-12       5.222077638997e-13      -3.212659567747e-15 
  163       6.446187921717e-10       1.342388652047e-13      -6.015261390728e-12       0.000000000000e+00       2.607835665858e-12       5.150830449642e-13      -3.151844009710e-15 
  164       6.485990525618e-10       1.329347776987e-13      -5.975099542490e-12       0.000000000000e+00       2.561763625217e-12       5.080486323906e-13      -3.090568451489e-15 
  165       6.525362486187e-10       1.315971346623e-13      -5.931291308093e-12       0.000000000000e+00       2.516701463862e-12       5.011071914932e-13      -3.028898767377e-15 
  166       6.564292723691e-10       1.302284610779e-13      -5.883818795902e-12       0.000000000000e+00       2.472644449487e-12       4.942611539045e-13      -2.966902774376e-15 
